Date;Date;SP-Open;SP-High;SP-Low;SP-Close;SP-Volume;SP-Adj Close;EN-Open;EN-High;EN-Low;EN-Close;EN-Volume;EN-Adj Close;BR-Open;BR-High;BR-Low;BR-Close;BR-Volume;BR-Adj Close;HK-Open;HK-High;HK-Low;HK-Close;HK-Volume;HK-Adj Close;SP-Return;EN-Return;BR-Return;HK-Return
1997-04-04;1997-04-04;750.320007;757.900024;744.039978;757.900024;544580000.0;757.900024;;;;;;;97050.0;97050.0;93070.0;97050.0;0.0;9705.0;12060.0;12213.5;12056.0;12204.599609;0.0;12204.599609;0.0101023788907;;0.0433240163406;0.0123929434255
1997-04-07;1997-04-07;757.900024;764.820007;757.900024;762.130005;453790000.0;762.130005;;;;;;;99370.0;99370.0;97050.0;98370.0;0.0;9837.0;12244.900391;12359.200195;12244.900391;12287.799805;0.0;12287.799805;0.00558118599558;;0.013601236476;0.00681711802644
1997-04-08;1997-04-08;762.130005;766.25;758.359985;766.119995;450790000.0;766.119995;;;;;;;98840.0;98840.0;97020.0;97380.0;0.0;9738.0;12316.5;12398.599609;12286.5;12398.599609;0.0;12398.599609;0.0052353141509;;-0.0100640439158;0.00901705803792
1997-04-09;1997-04-09;766.119995;769.530029;759.150024;760.599976;451500000.0;760.599976;;;;;;;99140.0;99140.0;97460.0;98190.0;0.0;9819.0;12418.099609;12451.5;12353.099609;12426.700195;0.0;12426.700195;-0.00720516242367;;0.0083179297597;0.0022664322493
1997-04-10;1997-04-10;760.599976;763.72998;757.650024;758.340027;421790000.0;758.340027;;;;;;;98190.0;99060.0;97280.0;97330.0;0.0;9733.0;12409.0;12409.0;12308.299805;12358.700195;0.0;12358.700195;-0.00297127145847;;-0.00875852938181;-0.00547208824008
1997-04-11;1997-04-11;758.340027;758.340027;737.640015;737.650024;444380000.0;737.650024;;;;;;;97330.0;97330.0;95020.0;95180.0;0.0;9518.0;12351.799805;12522.099609;12351.799805;12516.599609;0.0;12516.599609;-0.0272832796151;;-0.0220897975958;0.0127763770873
1997-04-14;1997-04-14;737.650024;743.72998;733.539978;743.72998;406800000.0;743.72998;;;;;;;95380.0;95380.0;94180.0;94560.0;0.0;9456.0;12347.299805;12396.0;12264.799805;12296.0;0.0;12296.0;0.00824233146097;;-0.00651397352385;-0.0176245638505
1997-04-15;1997-04-15;743.72998;754.719971;743.72998;754.719971;507370000.0;754.719971;;;;;;;96100.0;96100.0;94560.0;94900.0;0.0;9490.0;12332.799805;12392.700195;12315.400391;12342.0;0.0;12342.0;0.0147768562456;;0.00359560067682;0.0037410540013
1997-04-16;1997-04-16;754.719971;763.530029;751.98999;763.530029;498820000.0;763.530029;;;;;;;95760.0;95760.0;94490.0;95660.0;0.0;9566.0;12485.900391;12613.900391;12485.900391;12581.299805;0.0;12581.299805;0.0116732806054;;0.00800842992624;0.0193890621455
1997-04-17;1997-04-17;763.530029;768.549988;760.48999;761.77002;503760000.0;761.77002;;;;;;;95660.0;95660.0;93990.0;94190.0;0.0;9419.0;12622.799805;12635.5;12474.200195;12516.200195;0.0;12516.200195;-0.00230509466969;;-0.0153669245244;-0.00517431513508
1997-04-18;1997-04-18;761.77002;767.929993;761.77002;766.340027;468940000.0;766.340027;;;;;;;94520.0;94520.0;93600.0;94220.0;0.0;9422.0;12496.099609;12568.400391;12482.799805;12541.099609;0.0;12541.099609;0.00599919513766;;0.000318505149167;0.00198937485915
1997-04-21;1997-04-21;766.340027;767.390015;756.380005;760.369995;397300000.0;760.369995;;;;;;;;;;;;;12548.599609;12711.299805;12548.599609;12626.0;0.0;12626.0;-0.00779031733912;;;0.00676977247984
